Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
SMAD3	HsT17436, JV15-2, MADH3	ENSG00000166949	SMAD family member 3	15	67063763-67195195	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB008094, HPA046386, HPA067203, CAB069409	Approved		Enhanced	Nucleoplasm<br>Cytosol	Pancreatic cancer:2.48e-4 (unfavourable)	Expressed in all	Expressed in all			esophagus: 54.2	Expressed in all		
SMAD4	DPC4, MADH4	ENSG00000141646	SMAD family member 4	18	51028394-51085045	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA019154	Approved		Supported	Nucleoplasm<br>Centrosome<br>Cytosol	Renal cancer:1.92e-5 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 39.3	Expressed in all		
SMAD5	Dwfc, JV5-1, MADH5	ENSG00000113658	SMAD family member 5	5	136132845-136188747	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA058931	Approved		Supported	Nucleoplasm<br>Cytosol		Expressed in all	Expressed in all			endometrium: 43.1	Expressed in all		
SMAD6	HsT17432, MADH6, MADH7	ENSG00000137834	SMAD family member 6	15	66702228-66782848	Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA061917			Supported	Nucleus<br>Nuclear bodies<br>Golgi apparatus	Urothelial cancer:5.45e-5 (favourable)	Expressed in all	Tissue enhanced		lung: 16.8	placenta: 10.7	Cell line enhanced		EFO-21: 28.0
SMAD7	MADH7, MADH8	ENSG00000101665	SMAD family member 7	18	48919853-48950711	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB026212, HPA028897	Approved		Supported	Nucleoplasm<br>Cytosol	Endometrial cancer:5.61e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 42.0	Mixed		
SMAD9	MADH6, MADH9, SMAD8, SMAD8/9	ENSG00000120693	SMAD family member 9	13	36844831-36920765	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB009119, HPA031162	Approved		Supported	Nucleoplasm<br>Cytosol	Glioma:4.39e-4 (favourable), Thyroid cancer:4.92e-4 (unfavourable)	Mixed	Tissue enhanced		thyroid gland: 62.8	prostate: 22.2	Cell line enhanced		SH-SY5Y: 41.4
SMARCA1	hSNF2L, ISWI, NURF140, SNF2L, SNF2L1, SNF2LB, SWI	ENSG00000102038	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	X	129446501-129523500	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA003335, HPA064712	Uncertain		Supported	Nucleoplasm<br>Vesicles	Pancreatic cancer:3.03e-4 (favourable), Renal cancer:5.09e-4 (favourable)	Expressed in all	Mixed			testis: 113.1	Mixed		
SMARCA5	hISWI, hSNF2H, ISWI	ENSG00000153147	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	4	143513463-143557486	Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB005227, HPA008751	Supported		Supported	Nucleus<br>Nucleoli fibrillar center	Liver cancer:1.61e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 59.1	Expressed in all		
SMARCC1	BAF155, CRACC1, Rsc8, SRG3	ENSG00000173473	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	3	47585272-47782106	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB011576, CAB016336, HPA024352, HPA026853	Enhanced		Enhanced	Nucleoplasm	Colorectal cancer:3.34e-4 (favourable), Liver cancer:3.37e-4 (unfavourable)	Expressed in all	Expressed in all			prostate: 36.1	Expressed in all		
SMARCC2	BAF170, CRACC2, Rsc8	ENSG00000139613	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2	12	56162983-56189567	Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB004321, HPA021213, HPA061788	Supported		Enhanced	Nucleoplasm		Expressed in all	Expressed in all			cerebral cortex: 76.8	Expressed in all		
SMARCE1	BAF57	ENSG00000073584	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	17	40624962-40648508	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA003916, CAB037318	Enhanced		Supported	Nucleoplasm		Expressed in all	Expressed in all			endometrium: 74.3	Expressed in all		
SNAI1	SLUGH2, SNA, SNAH, SNAIL, SNAIL1	ENSG00000124216	Snail family transcriptional repressor 1	20	49982999-49988886	Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB005883, HPA056831, HPA069985, CAB078687	Supported		Supported	Nucleus<br>Cytosol	Renal cancer:2.63e-7 (unfavourable), Thyroid cancer:8.82e-7 (unfavourable), Lung cancer:1.61e-5 (unfavourable), Colorectal cancer:4.76e-4 (unfavourable)	Expressed in all	Tissue enhanced		gallbladder: 26.2	thyroid gland: 13.4	Cell line enhanced		SiHa: 30.1;TIME: 32.4;WM-115: 25.0
SNAI2	SLUG, SLUGH, SLUGH1, SNAIL2	ENSG00000019549	Snail family transcriptional repressor 2	8	48917768-48921740	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB011671	Supported		Approved	Nucleus	Renal cancer:4.69e-8 (unfavourable), Urothelial cancer:7.16e-4 (unfavourable), Pancreatic cancer:7.83e-4 (unfavourable)	Expressed in all	Mixed			cervix, uterine: 71.0	Cell line enhanced		ASC diff: 194.2;ASC TERT1: 202.4;LHCN-M2: 229.9;U-138 MG: 243.9
SNAI3	SMUC, Zfp293, ZNF293	ENSG00000185669	Snail family transcriptional repressor 3	16	88677682-88686493	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA071127			Approved	Nucleoplasm	Cervical cancer:1.39e-4 (favourable), Pancreatic cancer:3.58e-4 (favourable)	Mixed	Tissue enhanced		skeletal muscle: 10.9	lymph node: 4.3	Cell line enhanced		NB-4: 11.5;RPMI-8226: 19.9
SNAPC4	FLJ13451, PTFalpha, SNAP190	ENSG00000165684	Small nuclear RNA activating complex polypeptide 4	9	136375577-136400168	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA046627, HPA073243	Uncertain		Approved	Nucleoplasm<br>Nuclear membrane	Pancreatic cancer:4.52e-5 (favourable)	Expressed in all	Expressed in all			testis: 20.6	Expressed in all		
SOHLH1	bA100C15.3, bHLHe80, C9orf157, NOHLH, SPATA27, TEB2	ENSG00000165643	Spermatogenesis and oogenesis specific basic helix-loop-helix 1	9	135693407-135699528	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA059439			Approved	Nuclear speckles		Mixed	Group enriched	27	cerebral cortex: 6.3;testis: 13.4	skin: 0.3	Group enriched	36	CACO-2: 14.6;U-266/84: 19.8
SOHLH2	bHLHe81, FLJ20449, SPATA28, TEB1	ENSG00000120669	Spermatogenesis and oogenesis specific basic helix-loop-helix 2	13	36168208-36214615	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA029182						Mixed	Tissue enriched	15	testis: 46.2	prostate: 3.0	Cell line enhanced		A-431: 7.0;HL-60: 8.5;Karpas-707: 8.3;NB-4: 9.8;U-266/84: 11.1
SOX1		ENSG00000182968	SRY-box 1	13	112067647-112070488	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level							Group enriched	Group enriched	8	cerebral cortex: 3.6;testis: 1.5	skin: 0.3	Group enriched	6	AF22: 44.0;SCLC-21H: 10.1
SOX10	DOM, WS2E, WS4	ENSG00000100146	SRY-box 10	22	37970686-37987422	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB003171, HPA068898	Enhanced		Supported	Nucleoplasm		Not detected	Tissue enhanced		cerebral cortex: 56.6;salivary gland: 50.5	breast: 24.0	Group enriched	686	SK-MEL-30: 236.8;WM-115: 425.1
SOX11		ENSG00000176887	SRY-box 11	2	5692667-5701385	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA000536, CAB056152, CAB056153	Approved					Group enriched	Tissue enriched	15	cerebral cortex: 5.4	smooth muscle: 0.3	Group enriched	7	AF22: 48.1;NTERA-2: 23.8;REH: 16.5;RH-30: 18.0;SCLC-21H: 35.0;SH-SY5Y: 47.7;WM-115: 11.2
SOX12	SOX22	ENSG00000177732	SRY-box 12	20	325595-330224	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA055052, HPA061627			Supported	Nucleoplasm	Liver cancer:6.64e-5 (unfavourable)	Expressed in all	Mixed			cerebral cortex: 10.7	Mixed		
SOX13	ICA12, MGC117216, Sox-13	ENSG00000143842	SRY-box 13	1	204073115-204127743	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA051790, HPA054843			Enhanced	Nucleoplasm	Colorectal cancer:6.49e-4 (unfavourable)	Expressed in all	Mixed			parathyroid gland: 53.8	Cell line enhanced		SK-BR-3: 103.3
SOX14	SOX28	ENSG00000168875	SRY-box 14	3	137764284-137766338	Predicted intracellular proteins, Transcription factors	Evidence at protein level							Tissue enhanced	Group enriched	19	placenta: 2.4;prostate: 1.2	all non-specific tissues: 0.0	Not detected		
SOX15	SOX20, SOX26, SOX27	ENSG00000129194	SRY-box 15	17	7588178-7590170	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA067196, HPA074049	Enhanced		Supported	Nucleus<br>Nucleoli<br>Golgi apparatus<br>Vesicles		Tissue enhanced	Tissue enhanced		skin: 40.5	esophagus: 17.5	Group enriched	8	A-431: 108.6;HaCaT: 120.2;HBEC3-KT: 39.0;hTCEpi: 38.2
SOX17		ENSG00000164736	SRY-box 17	8	54457935-54460888	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB025594, HPA068399	Enhanced		Approved	Nucleoplasm	Endometrial cancer:2.76e-4 (favourable)	Group enriched	Tissue enhanced		cervix, uterine: 30.2;endometrium: 32.2;fallopian tube: 30.1	adipose tissue: 14.7	Cell line enriched	8	EFO-21: 102.6
SOX18		ENSG00000203883	SRY-box 18	20	64047582-64049641	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA073703			Approved	Nucleus		Expressed in all	Tissue enhanced		adipose tissue: 32.9	lung: 12.0	Cell line enhanced		HUVEC TERT2: 17.4;NB-4: 22.5;REH: 7.7;TIME: 7.8
SOX2		ENSG00000181449	SRY-box 2	3	181711924-181714436	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB010648, HPA045725, HPA071379	Approved	Supported	Supported	Nucleoplasm		Tissue enhanced	Tissue enriched	8	cerebral cortex: 117.9	esophagus: 14.8	Cell line enhanced		AF22: 273.3;HAP1: 122.7;NTERA-2: 226.0
SOX21	SOX25	ENSG00000125285	SRY-box 21	13	94709622-94712399	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA048337, HPA064084	Approved		Approved	Nucleus	Glioma:1.34e-4 (favourable), Cervical cancer:7.60e-4 (favourable)	Tissue enhanced	Group enriched	6	cerebral cortex: 17.9;esophagus: 6.9;skin: 19.4;stomach: 33.4	tonsil: 3.1	Cell line enhanced		AF22: 80.6;HAP1: 12.8;NTERA-2: 22.0;PC-3: 11.6
SOX3	PHP	ENSG00000134595	SRY-box 3	X	140502985-140505116	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA054720, HPA075003			Enhanced	Nucleoplasm		Tissue enhanced	Tissue enriched	7	fallopian tube: 14.2	testis: 2.0	Group enriched	11	AF22: 7.2;HEK 293: 7.2;NTERA-2: 17.4
SOX30		ENSG00000039600	SRY-box 30	5	157625679-157671480	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA006159, CAB009382	Enhanced					Mixed	Tissue enriched	94	testis: 144.4	fallopian tube: 1.5	Cell line enhanced		A-431: 1.7;CACO-2: 1.0;HDLM-2: 3.8
SOX4		ENSG00000124766	SRY-box 4	6	21592768-21598619	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA029901	Approved		Supported	Nucleoplasm<br>Mitochondria	Liver cancer:2.57e-5 (unfavourable)	Expressed in all	Expressed in all			endometrium: 80.5	Cell line enhanced		AN3-CA: 194.4;MOLT-4: 151.8;SH-SY5Y: 123.8
SOX5	L-SOX5, MGC35153	ENSG00000134532	SRY-box 5	12	23529500-23951032	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA060499			Supported	Nucleoplasm		Mixed	Tissue enhanced		testis: 58.4	cerebral cortex: 11.7	Cell line enhanced		AF22: 14.4;HDLM-2: 25.3;K-562: 15.1;WM-115: 13.9
SOX6		ENSG00000110693	SRY-box 6	11	15966449-16739591	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA001923, HPA003908	Enhanced		Approved	Nucleoplasm	Renal cancer:6.47e-12 (favourable)	Mixed	Tissue enhanced		testis: 25.9	bone marrow: 16.5	Cell line enhanced		WM-115: 20.4
SOX7		ENSG00000171056	SRY-box 7	8	10723768-10730512	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA009065	Approved		Approved	Nuclear speckles<br>Golgi apparatus		Expressed in all	Tissue enhanced		placenta: 49.6	lung: 18.7	Cell line enhanced		HaCaT: 21.1;HUVEC TERT2: 46.6;TIME: 36.3
SOX8		ENSG00000005513	SRY-box 8	16	981808-986979	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA041640, HPA058665	Enhanced		Supported	Nucleus		Tissue enriched	Tissue enriched	29	cerebral cortex: 109.9	salivary gland: 3.8	Cell line enriched	5	RH-30: 112.8
SOX9	CMD1, CMPD1, SRA1	ENSG00000125398	SRY-box 9	17	72121020-72126420	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA001758, CAB022456, CAB068240	Enhanced		Enhanced	Nucleoplasm	Lung cancer:2.07e-4 (unfavourable)	Expressed in all	Mixed			cerebral cortex: 61.3	Cell line enhanced		AN3-CA: 72.2;Hep G2: 65.5;U-251 MG: 54.6
SP1		ENSG00000185591	Sp1 transcription factor	12	53380176-53416446	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB000330, HPA001853, HPA012292	Supported		Enhanced	Nucleoplasm	Pancreatic cancer:1.43e-4 (unfavourable)	Expressed in all	Expressed in all			endometrium: 54.3	Expressed in all		
SP100		ENSG00000067066	SP100 nuclear antigen	2	230415942-230544090	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA016707, HPA017384	Enhanced		Supported	Nucleus<br>Nuclear bodies	Renal cancer:1.61e-4 (unfavourable)	Expressed in all	Expressed in all			bone marrow: 139.6	Cell line enhanced		BJ hTERT+ SV40 Large T+ RasG12V: 274.7
SP110	IFI41, IFI75	ENSG00000135899	SP110 nuclear body protein	2	230167293-230225729	Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA047036, HPA058554	Approved		Supported	Nucleus	Renal cancer:1.17e-5 (unfavourable)	Expressed in all	Expressed in all			spleen: 66.3	Cell line enhanced		BJ hTERT+ SV40 Large T+ RasG12V: 94.0
SP140	LYSP100-A, LYSP100-B	ENSG00000079263	SP140 nuclear body protein	2	230203110-230313215	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA006162, HPA067493	Enhanced		Approved	Nucleoli fibrillar center<br>Mitochondria		Mixed	Group enriched	6	appendix: 32.8;lymph node: 64.4;spleen: 38.3;tonsil: 50.7	urinary bladder: 7.6	Cell line enhanced		Daudi: 22.1;HDLM-2: 48.5;Karpas-707: 18.0;RPMI-8226: 11.2
SP140L		ENSG00000185404	SP140 nuclear body protein like	2	230327184-230403732	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA055864	Uncertain		Approved	Nucleoplasm	Renal cancer:5.09e-10 (unfavourable)	Expressed in all	Mixed			spleen: 28.7	Mixed		
SP2	KIAA0048	ENSG00000167182	Sp2 transcription factor	17	47896150-47928957	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA003357, CAB010245	Supported		Enhanced	Nucleoplasm<br>Vesicles	Renal cancer:1.82e-5 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 40.3	Expressed in all		
SP3	SPR-2	ENSG00000172845	Sp3 transcription factor	2	173906459-173965702	Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB004580, HPA032145, HPA032146	Supported	Supported			Renal cancer:2.46e-5 (unfavourable)	Expressed in all	Expressed in all			cervix, uterine: 91.7	Expressed in all		
SP4	HF1B, MGC130008, MGC130009, SPR-1	ENSG00000105866	Sp4 transcription factor	7	21428034-21514822	Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB010246, HPA040395	Uncertain		Enhanced	Nucleoplasm<br>Cytosol		Expressed in all	Mixed			parathyroid gland: 14.9	Cell line enhanced		REH: 24.6
SP5		ENSG00000204335	Sp5 transcription factor	2	170715351-170718078	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA074123			Approved	Nucleus<br>Nucleoli		Mixed	Tissue enhanced		endometrium: 3.9	stomach: 2.3	Group enriched	12	CACO-2: 23.0;Hep G2: 83.0
SP6	Epfn, KLF14	ENSG00000189120	Sp6 transcription factor	17	47844908-47855874	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA024516, HPA044469			Supported	Nucleoplasm<br>Mitotic spindle<br>Centrosome	Lung cancer:2.11e-6 (unfavourable), Urothelial cancer:5.72e-4 (favourable), Stomach cancer:6.39e-4 (favourable)	Mixed	Tissue enhanced		placenta: 32.5;seminal vesicle: 14.7	skin: 7.2	Cell line enriched	5	BEWO: 88.4
SP7	osterix, OSX	ENSG00000170374	Sp7 transcription factor	12	53326575-53345315	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA029964, HPA063202	Enhanced	Approved				Not detected	Tissue enhanced		testis: 1.3	parathyroid gland,thyroid gland: 0.4	Not detected		
SP8		ENSG00000164651	Sp8 transcription factor	7	20782283-20786886	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA054006	Uncertain		Approved	Nucleus		Tissue enhanced	Tissue enriched	12	prostate: 10.5	skin: 0.8	Cell line enhanced		HUVEC TERT2: 5.3;NTERA-2: 13.0;PC-3: 20.5
SP9	ZNF990	ENSG00000217236	Sp9 transcription factor	2	174334946-174338492	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA062616	Uncertain		Approved	Mitochondria		Mixed	Tissue enhanced		fallopian tube: 1.4	skin: 0.9	Cell line enhanced		A549: 6.5;fHDF/TERT166: 4.2;THP-1: 7.8
